SUMMARY OF RUN ../../data/case1.data -- 346 time step
Row 1
	        TIME	      NRiter	      LSiter	         FPR	      Volume	        FOPR	        FOPT	        FGPR	        FGPT	        FWPR
	         DAY	           -	           -	        PSIA	         Ft3	     STB/DAY	         STB	    MSCF/DAY	        MSCF	     STB/DAY
	           -	           -	           -	           -	 Hydrocarbon	           -	           -	           -	           -	           -
	     260.000	         441	        2014	 5.63280e+03	 2.65463e+09	 2.00000e+04	 5.20000e+06	 2.53682e+04	 6.54990e+06	 1.01542e-02
	     263.000	         445	        2039	 5.64144e+03	 2.65472e+09	 2.00000e+04	 5.26000e+06	 2.53795e+04	 6.62604e+06	 1.00330e-02
	     266.000	         449	        2064	 5.65003e+03	 2.65480e+09	 2.00000e+04	 5.32000e+06	 2.53912e+04	 6.70221e+06	 9.91273e-03
	     269.000	         453	        2090	 5.65860e+03	 2.65489e+09	 2.00000e+04	 5.38000e+06	 2.54017e+04	 6.77842e+06	 9.79156e-03
	     272.000	         457	        2114	 5.66716e+03	 2.65498e+09	 2.00000e+04	 5.44000e+06	 2.54105e+04	 6.85465e+06	 9.66934e-03
	     275.000	         461	        2139	 5.67565e+03	 2.65506e+09	 2.00000e+04	 5.50000e+06	 2.54177e+04	 6.93090e+06	 9.54660e-03
	     278.000	         465	        2162	 5.68417e+03	 2.65515e+09	 2.00000e+04	 5.56000e+06	 2.54245e+04	 7.00718e+06	 9.42364e-03
	     281.000	         469	        2190	 5.69265e+03	 2.65523e+09	 2.00000e+04	 5.62000e+06	 2.54305e+04	 7.08347e+06	 9.29915e-03
	     284.000	         473	        2215	 5.70107e+03	 2.65532e+09	 2.00000e+04	 5.68000e+06	 2.54379e+04	 7.15978e+06	 9.17530e-03
	     287.000	         478	        2245	 5.70951e+03	 2.65540e+09	 2.00000e+04	 5.74000e+06	 2.54450e+04	 7.23612e+06	 9.04944e-03
	     290.000	         482	        2269	 5.71786e+03	 2.65549e+09	 2.00000e+04	 5.80000e+06	 2.54540e+04	 7.31248e+06	 8.92310e-03
	     293.000	         487	        2299	 5.72626e+03	 2.65557e+09	 2.00000e+04	 5.86000e+06	 2.54681e+04	 7.38888e+06	 8.79615e-03
	     296.000	         491	        2324	 5.73459e+03	 2.65566e+09	 2.00000e+04	 5.92000e+06	 2.54754e+04	 7.46531e+06	 8.66599e-03
	     299.000	         495	        2347	 5.74290e+03	 2.65574e+09	 2.00000e+04	 5.98000e+06	 2.54814e+04	 7.54175e+06	 8.53141e-03
	     302.000	         500	        2375	 5.75119e+03	 2.65582e+09	 2.00000e+04	 6.04000e+06	 2.54870e+04	 7.61821e+06	 8.39185e-03
	     305.000	         504	        2399	 5.75949e+03	 2.65591e+09	 2.00000e+04	 6.10000e+06	 2.54901e+04	 7.69468e+06	 8.24382e-03
	     308.000	         509	        2428	 5.76779e+03	 2.65599e+09	 2.00000e+04	 6.16000e+06	 2.54920e+04	 7.77116e+06	 8.08665e-03
	     310.000	         513	        2454	 5.77327e+03	 2.65605e+09	 2.00000e+04	 6.20000e+06	 2.54925e+04	 7.82214e+06	 7.97643e-03
	     313.000	         517	        2481	 5.78145e+03	 2.65613e+09	 2.00000e+04	 6.26000e+06	 2.54948e+04	 7.89863e+06	 7.79060e-03
	     315.000	         520	        2501	 5.78685e+03	 2.65618e+09	 2.00000e+04	 6.30000e+06	 2.55033e+04	 7.94964e+06	 7.64997e-03
	     317.000	         525	        2527	 5.79230e+03	 2.65624e+09	 2.00000e+04	 6.34000e+06	 2.55878e+04	 8.00081e+06	 7.48786e-03
	     319.000	         532	        2562	 5.79770e+03	 2.65629e+09	 2.00000e+04	 6.38000e+06	 2.60311e+04	 8.05287e+06	 7.33954e-03
	     321.000	         537	        2591	 5.80293e+03	 2.65635e+09	 2.00000e+04	 6.42000e+06	 2.72612e+04	 8.10740e+06	 7.42721e-03
	     323.000	         541	        2616	 5.80791e+03	 2.65640e+09	 2.00000e+04	 6.46000e+06	 2.88911e+04	 8.16518e+06	 7.74754e-03
	     325.000	         544	        2637	 5.81265e+03	 2.65644e+09	 2.00000e+04	 6.50000e+06	 3.05456e+04	 8.22627e+06	 8.12079e-03
	     327.000	         548	        2662	 5.81717e+03	 2.65649e+09	 2.00000e+04	 6.54000e+06	 3.23021e+04	 8.29087e+06	 8.54470e-03
	     329.000	         551	        2681	 5.82145e+03	 2.65653e+09	 2.00000e+04	 6.58000e+06	 3.40136e+04	 8.35890e+06	 8.93752e-03
	     331.000	         555	        2702	 5.82550e+03	 2.65657e+09	 2.00000e+04	 6.62000e+06	 3.55431e+04	 8.42999e+06	 9.26324e-03
	     333.000	         558	        2724	 5.82936e+03	 2.65661e+09	 2.00000e+04	 6.66000e+06	 3.69841e+04	 8.50396e+06	 9.54928e-03
	     335.000	         562	        2748	 5.83301e+03	 2.65665e+09	 2.00000e+04	 6.70000e+06	 3.84354e+04	 8.58083e+06	 9.82866e-03
	     337.000	         574	        2821	 5.83647e+03	 2.65668e+09	 2.00000e+04	 6.74000e+06	 3.99598e+04	 8.66075e+06	 1.01238e-02
	     338.000	         576	        2834	 5.83814e+03	 2.65670e+09	 2.00000e+04	 6.76000e+06	 4.07849e+04	 8.70153e+06	 1.02873e-02
	     340.000	         578	        2850	 5.84130e+03	 2.65673e+09	 2.00000e+04	 6.80000e+06	 4.24099e+04	 8.78635e+06	 1.06358e-02
	     342.000	         582	        2878	 5.84426e+03	 2.65676e+09	 2.00000e+04	 6.84000e+06	 4.40339e+04	 8.87442e+06	 1.10026e-02
	     344.000	         584	        2893	 5.84702e+03	 2.65679e+09	 2.00000e+04	 6.88000e+06	 4.55775e+04	 8.96557e+06	 1.13669e-02
	     346.000	         586	        2909	 5.84963e+03	 2.65682e+09	 2.00000e+04	 6.92000e+06	 4.69573e+04	 9.05949e+06	 1.17038e-02
	     348.000	         589	        2928	 5.85209e+03	 2.65684e+09	 2.00000e+04	 6.96000e+06	 4.81878e+04	 9.15586e+06	 1.20111e-02
	     350.000	         591	        2943	 5.85441e+03	 2.65686e+09	 2.00000e+04	 7.00000e+06	 4.93074e+04	 9.25448e+06	 1.22845e-02
	     352.000	         593	        2958	 5.85660e+03	 2.65689e+09	 2.00000e+04	 7.04000e+06	 5.03148e+04	 9.35511e+06	 1.25275e-02
	     354.000	         596	        2979	 5.85868e+03	 2.65691e+09	 2.00000e+04	 7.08000e+06	 5.12563e+04	 9.45762e+06	 1.27475e-02
	     356.000	         598	        2994	 5.86065e+03	 2.65693e+09	 2.00000e+04	 7.12000e+06	 5.21280e+04	 9.56188e+06	 1.29438e-02
	     358.000	         600	        3010	 5.86252e+03	 2.65695e+09	 2.00000e+04	 7.16000e+06	 5.29218e+04	 9.66772e+06	 1.31137e-02
	     360.000	         602	        3026	 5.86430e+03	 2.65696e+09	 2.00000e+04	 7.20000e+06	 5.36736e+04	 9.77507e+06	 1.32664e-02
	     362.000	         604	        3042	 5.86602e+03	 2.65698e+09	 2.00000e+04	 7.24000e+06	 5.44051e+04	 9.88388e+06	 1.34101e-02
	     366.000	         611	        3104	 5.86916e+03	 2.65701e+09	 2.00000e+04	 7.32000e+06	 5.58220e+04	 1.01072e+07	 1.36729e-02
	     371.000	         616	        3145	 5.87259e+03	 2.65705e+09	 2.00000e+04	 7.42000e+06	 5.75264e+04	 1.03948e+07	 1.39948e-02
	     372.500	         618	        3158	 5.87359e+03	 2.65706e+09	 2.00000e+04	 7.45000e+06	 5.80292e+04	 1.04818e+07	 1.40890e-02
	     375.500	         620	        3173	 5.87542e+03	 2.65708e+09	 2.00000e+04	 7.51000e+06	 5.90088e+04	 1.06589e+07	 1.42686e-02
	     380.500	         626	        3226	 5.87808e+03	 2.65710e+09	 2.00000e+04	 7.61000e+06	 6.04944e+04	 1.09613e+07	 1.45488e-02
	     385.500	         631	        3267	 5.88028e+03	 2.65712e+09	 2.00000e+04	 7.71000e+06	 6.18843e+04	 1.12708e+07	 1.48121e-02
	     390.500	         634	        3295	 5.88208e+03	 2.65714e+09	 2.00000e+04	 7.81000e+06	 6.32398e+04	 1.15870e+07	 1.50696e-02
	     395.500	         638	        3332	 5.88360e+03	 2.65716e+09	 2.00000e+04	 7.91000e+06	 6.44755e+04	 1.19093e+07	 1.52944e-02
	     400.500	         640	        3350	 5.88481e+03	 2.65717e+09	 2.00000e+04	 8.01000e+06	 6.56284e+04	 1.22375e+07	 1.54997e-02
	     405.500	         643	        3379	 5.88575e+03	 2.65718e+09	 2.00000e+04	 8.11000e+06	 6.67187e+04	 1.25711e+07	 1.56912e-02
	     410.500	         646	        3404	 5.88644e+03	 2.65719e+09	 2.00000e+04	 8.21000e+06	 6.77543e+04	 1.29098e+07	 1.58751e-02
	     415.500	         649	        3426	 5.88685e+03	 2.65719e+09	 2.00000e+04	 8.31000e+06	 6.87567e+04	 1.32536e+07	 1.60539e-02
	     420.500	         652	        3451	 5.88695e+03	 2.65719e+09	 2.00000e+04	 8.41000e+06	 6.97197e+04	 1.36022e+07	 1.62287e-02
	     425.500	         654	        3467	 5.88681e+03	 2.65719e+09	 2.00000e+04	 8.51000e+06	 7.06425e+04	 1.39554e+07	 1.63976e-02
	     430.500	         657	        3488	 5.88641e+03	 2.65719e+09	 2.00000e+04	 8.61000e+06	 7.15266e+04	 1.43131e+07	 1.65581e-02
	     435.500	         659	        3505	 5.88578e+03	 2.65718e+09	 2.00000e+04	 8.71000e+06	 7.24194e+04	 1.46752e+07	 1.67341e-02
	     440.500	         662	        3525	 5.88492e+03	 2.65717e+09	 2.00000e+04	 8.81000e+06	 7.32389e+04	 1.50414e+07	 1.68925e-02
	     445.500	         665	        3546	 5.88388e+03	 2.65716e+09	 2.00000e+04	 8.91000e+06	 7.40309e+04	 1.54115e+07	 1.70464e-02
	     450.500	         667	        3559	 5.88265e+03	 2.65715e+09	 2.00000e+04	 9.01000e+06	 7.47813e+04	 1.57854e+07	 1.71870e-02
